Plate ID,Well ,Sample ID,User ID,Date ,Time ,Conc. ,Units ,A260 ,A280 ,260/280 ,260/230 ,Conc. Factor (ng/ul),Cursor Pos.,Cursor abs.,340 raw,NA Type
Plate2_RNA,E3,,Default,02/09/21,05:47:00 PM,37.56,ng/ul,0.939,0.426,2.21,2.1,40,260,0.939,0.068,RNA-40
Plate2_RNA,F3,,Default,02/09/21,05:47:00 PM,22.82,ng/ul,0.571,0.258,2.21,2.27,40,260,0.571,0.066,RNA-40
Plate2_RNA,G3,,Default,02/09/21,05:47:00 PM,9.787,ng/ul,0.245,0.108,2.26,1.89,40,260,0.245,0.042,RNA-40
Plate2_RNA,H3,,Default,02/09/21,05:47:00 PM,22.09,ng/ul,0.552,0.3,1.84,0.86,40,260,0.552,0.593,RNA-40
Plate2_RNA,A4,,Default,02/09/21,05:51:00 PM,10.91,ng/ul,0.273,0.118,2.3,1.85,40,260,0.273,0.022,RNA-40
Plate2_RNA,B4,,Default,02/09/21,05:51:00 PM,6.474,ng/ul,0.162,0.08,2.01,1.55,40,260,0.162,-0.014,RNA-40
Plate2_RNA,C4,,Default,02/09/21,05:51:00 PM,23.9,ng/ul,0.597,0.273,2.19,1.88,40,260,0.597,0.049,RNA-40
Plate2_RNA,D4,,Default,02/09/21,05:51:00 PM,32.01,ng/ul,0.8,0.363,2.21,1.38,40,260,0.8,0.043,RNA-40
Plate2_RNA,E4,,Default,02/09/21,05:51:00 PM,26.33,ng/ul,0.658,0.304,2.17,1.78,40,260,0.658,0.043,RNA-40
Plate2_RNA,F4,,Default,02/09/21,05:51:00 PM,18.13,ng/ul,0.453,0.211,2.15,1.85,40,260,0.453,0.085,RNA-40
Plate2_RNA,G4,,Default,02/09/21,05:51:00 PM,47.44,ng/ul,1.186,0.566,2.1,2.05,40,260,1.186,0.047,RNA-40
Plate2_RNA,H4,,Default,02/09/21,05:51:00 PM,41.28,ng/ul,1.032,0.473,2.18,2.09,40,260,1.032,0.043,RNA-40
Plate2_RNA,A5,,Default,02/09/21,05:54:00 PM,24.16,ng/ul,0.604,0.295,2.05,1.4,40,260,0.604,0.17,RNA-40
Plate2_RNA,B5,,Default,02/09/21,05:54:00 PM,14.5,ng/ul,0.363,0.167,2.18,1.79,40,260,0.363,0.006,RNA-40
Plate2_RNA,C5,,Default,02/09/21,05:54:00 PM,22.24,ng/ul,0.556,0.251,2.22,2.04,40,260,0.556,0.09,RNA-40
Plate2_RNA,D5,,Default,02/09/21,05:54:00 PM,19.78,ng/ul,0.494,0.222,2.22,2.13,40,260,0.494,0.049,RNA-40
Plate2_RNA,E5,,Default,02/09/21,05:54:00 PM,18.76,ng/ul,0.469,0.213,2.21,2.08,40,260,0.469,0.063,RNA-40
Plate2_RNA,F5,,Default,02/09/21,05:54:00 PM,41.42,ng/ul,1.036,0.484,2.14,2.1,40,260,1.036,0.095,RNA-40
Plate2_RNA,G5,,Default,02/09/21,05:54:00 PM,4.744,ng/ul,0.119,0.042,2.79,1.98,40,260,0.119,0.098,RNA-40
Plate2_RNA,H5,,Default,02/09/21,05:54:00 PM,21.38,ng/ul,0.535,0.239,2.24,2.13,40,260,0.535,0.023,RNA-40
Plate2_RNA,A6,,Default,02/09/21,05:57:00 PM,8.784,ng/ul,0.22,0.094,2.33,1.76,40,260,0.22,0.022,RNA-40
Plate2_RNA,B6,,Default,02/09/21,05:57:00 PM,8.946,ng/ul,0.224,0.097,2.31,1.74,40,260,0.224,0.002,RNA-40
Plate2_RNA,C6,,Default,02/09/21,05:57:00 PM,23.25,ng/ul,0.581,0.267,2.18,2.05,40,260,0.581,0.053,RNA-40
Plate2_RNA,D6,,Default,02/09/21,05:57:00 PM,11.93,ng/ul,0.298,0.131,2.28,2.09,40,260,0.298,0.056,RNA-40
Plate2_RNA,E6,,Default,02/09/21,05:57:00 PM,18.39,ng/ul,0.46,0.205,2.24,2.1,40,260,0.46,0.052,RNA-40
Plate2_RNA,F6,,Default,02/09/21,05:57:00 PM,16.78,ng/ul,0.419,0.19,2.2,2.44,40,260,0.419,0.062,RNA-40
Plate2_RNA,G6,,Default,02/09/21,05:57:00 PM,13.36,ng/ul,0.334,0.141,2.37,2.28,40,260,0.334,0.067,RNA-40
Plate2_RNA,H6,,Default,02/09/21,05:57:00 PM,32.88,ng/ul,0.822,0.367,2.24,2.08,40,260,0.822,0.025,RNA-40
Plate2_RNA,A7,,Default,02/09/21,06:00:00 PM,9.318,ng/ul,0.233,0.103,2.25,1.67,40,260,0.233,0.013,RNA-40
Plate2_RNA,B7,,Default,02/09/21,06:00:00 PM,9.352,ng/ul,0.234,0.104,2.24,1.87,40,260,0.234,0.006,RNA-40
Plate2_RNA,C7,,Default,02/09/21,06:00:00 PM,43.89,ng/ul,1.097,0.509,2.15,2.02,40,260,1.097,0.082,RNA-40
Plate2_RNA,D7,,Default,02/09/21,06:00:00 PM,23.89,ng/ul,0.597,0.277,2.15,1.92,40,260,0.597,0.132,RNA-40
Plate2_RNA,E7,,Default,02/09/21,06:00:00 PM,19.65,ng/ul,0.491,0.225,2.18,2.16,40,260,0.491,0.039,RNA-40
Plate2_RNA,F7,,Default,02/09/21,06:00:00 PM,18.39,ng/ul,0.46,0.208,2.21,2.31,40,260,0.46,0.037,RNA-40
Plate2_RNA,G7,,Default,02/09/21,06:00:00 PM,26.84,ng/ul,0.671,0.301,2.23,2.23,40,260,0.671,0.027,RNA-40
Plate2_RNA,H7,,Default,02/09/21,06:00:00 PM,25.34,ng/ul,0.634,0.34,1.86,0.83,40,260,0.634,0.826,RNA-40
Plate2_RNA,A8,,Default,02/09/21,06:06:00 PM,25.43,ng/ul,0.636,0.287,2.21,1.85,40,260,0.636,0.059,RNA-40
Plate2_RNA,B8,,Default,02/09/21,06:06:00 PM,22.58,ng/ul,0.564,0.277,2.04,1.77,40,260,0.564,-0.004,RNA-40
Plate2_RNA,C8,,Default,02/09/21,06:06:00 PM,50.48,ng/ul,1.262,0.622,2.03,1.95,40,260,1.262,-0.02,RNA-40
Plate2_RNA,D8,,Default,02/09/21,06:06:00 PM,33.55,ng/ul,0.839,0.404,2.08,1.94,40,260,0.839,0.028,RNA-40
Plate2_RNA,E8,,Default,02/09/21,06:06:00 PM,43.1,ng/ul,1.078,0.504,2.14,1.93,40,260,1.078,0.024,RNA-40
Plate2_RNA,F8,,Default,02/09/21,06:06:00 PM,42.5,ng/ul,1.062,0.507,2.1,1.97,40,260,1.062,0.056,RNA-40
Plate2_RNA,G8,,Default,02/09/21,06:06:00 PM,42.74,ng/ul,1.068,0.492,2.17,2.09,40,260,1.068,0.063,RNA-40
Plate2_RNA,H8,,Default,02/09/21,06:06:00 PM,36.62,ng/ul,0.915,0.525,1.74,0.84,40,260,0.915,0.75,RNA-40
Plate2_RNA,A9,,Default,02/09/21,06:07:00 PM,40.47,ng/ul,1.012,0.5,2.02,1.53,40,260,1.012,0.224,RNA-40
Plate2_RNA,B9,,Default,02/09/21,06:07:00 PM,37.27,ng/ul,0.932,0.452,2.06,1.88,40,260,0.932,0.004,RNA-40
Plate2_RNA,C9,,Default,02/09/21,06:07:00 PM,14.11,ng/ul,0.353,0.179,1.97,1.65,40,260,0.353,-0.007,RNA-40
Plate2_RNA,D9,,Default,02/09/21,06:07:00 PM,20.82,ng/ul,0.521,0.251,2.07,1.86,40,260,0.521,0.015,RNA-40
Plate2_RNA,E9,,Default,02/09/21,06:07:00 PM,3.492,ng/ul,0.087,0.039,2.21,1.62,40,260,0.087,0.016,RNA-40
Plate2_RNA,F9,,Default,02/09/21,06:07:00 PM,26.86,ng/ul,0.672,0.327,2.06,1.99,40,260,0.672,0.037,RNA-40
Plate2_RNA,G9,,Default,02/09/21,06:07:00 PM,14.84,ng/ul,0.371,0.166,2.23,2,40,260,0.371,0.031,RNA-40
Plate2_RNA,H9,,Default,02/09/21,06:07:00 PM,43.95,ng/ul,1.099,0.534,2.06,1.85,40,260,1.099,-0.105,RNA-40
Plate2_RNA,A10,,Default,02/09/21,06:09:00 PM,32.6,ng/ul,0.815,0.418,1.95,1.16,40,260,0.815,0.422,RNA-40
Plate2_RNA,B10,,Default,02/09/21,06:09:00 PM,12.69,ng/ul,0.317,0.157,2.02,1.59,40,260,0.317,0.035,RNA-40
Plate2_RNA,C10,,Default,02/09/21,06:09:00 PM,13.12,ng/ul,0.328,0.175,1.87,1.48,40,260,0.328,0.024,RNA-40
Plate2_RNA,D10,,Default,02/09/21,06:09:00 PM,10.05,ng/ul,0.251,0.124,2.03,1.68,40,260,0.251,0.04,RNA-40
Plate2_RNA,E10,,Default,02/09/21,06:09:00 PM,24.27,ng/ul,0.607,0.29,2.09,1.94,40,260,0.607,0.033,RNA-40
Plate2_RNA,F10,,Default,02/09/21,06:09:00 PM,9.501,ng/ul,0.238,0.129,1.83,1.23,40,260,0.238,0.082,RNA-40
Plate2_RNA,G10,,Default,02/09/21,06:09:00 PM,31.16,ng/ul,0.779,0.37,2.11,1.98,40,260,0.779,0.043,RNA-40
Plate2_RNA,H10,,Default,02/09/21,06:09:00 PM,22.68,ng/ul,0.567,0.311,1.82,0.95,40,260,0.567,0.265,RNA-40
Plate2_RNA,A11,,Default,02/09/21,06:11:00 PM,29.4,ng/ul,0.735,0.375,1.96,1.25,40,260,0.735,0.286,RNA-40
Plate2_RNA,B11,,Default,02/09/21,06:11:00 PM,7.369,ng/ul,0.184,0.096,1.92,1.26,40,260,0.184,-0.011,RNA-40
