Tag,Tank,Date,BW,Temp,Sal,Notes
A116,1,2020-09-04,4.2007,27.6,34.6,
A127,1,2020-09-04,4.7855,27.7,34.6,
A152,1,2020-09-04,7.8965,27.6,34.6,
A158,1,2020-09-04,5.2894,27.5,34.7,
A159,1,2020-09-04,4.4428,27.6,34.6,
A184,1,2020-09-04,4.4361,27.6,34.6,
A192,1,2020-09-04,3.7898,27.6,34.6,
A196,1,2020-09-04,3.3941,27.6,34.6,
211,2,2020-09-04,3.5644,27.5,34.6,
214,2,2020-09-04,5.084,27.5,34.7,
222,2,2020-09-04,7.5518,27.4,34.7,
237,2,2020-09-04,8.0876,27.5,34.6,
