Time,Untitled 16,Untitled 17,Untitled 18,Flow,Set to (mL/min),Time0
02/13/20 02:35 AM,-0.041553,1.064087,506.791801,216,300,11:34:59 AM
02/13/20 02:40 AM,-0.041684,0.051106,499.55833,216,300,11:39:56 AM
02/13/20 02:45 AM,0.005647,1.405353,502.854616,216,300,11:44:57 AM
02/13/20 02:50 AM,-0.041081,1.177187,502.24568,216,300,11:49:55 AM
02/13/20 02:55 AM,-0.039222,0.139947,508.666143,216,300,11:54:57 AM
02/13/20 03:00 AM,-0.041596,4.923973,503.306195,216,300,12:00:00 PM
02/13/20 03:05 AM,2.760467,2.093527,501.279414,216,300,12:04:54 PM
02/13/20 03:10 AM,-0.036947,0.856642,501.564622,216,300,12:09:58 PM
02/13/20 03:15 AM,-0.041517,0,503.461912,216,300,12:14:59 PM
02/13/20 03:20 AM,-0.041327,0,499.061674,216,300,12:19:58 PM
02/13/20 03:25 AM,-0.041458,0.391457,506.043539,216,300,12:24:56 PM
02/13/20 03:30 AM,-0.041379,1.123492,512.230427,216,300,12:29:59 PM
02/13/20 03:35 AM,1.253873,1.702759,503.698766,216,300,12:34:55 PM
02/13/20 03:40 AM,-0.041619,2.083365,501.38104,216,300,12:39:59 PM
02/13/20 03:45 AM,-0.039035,0.087235,502.796427,198,300,12:44:55 PM
02/13/20 03:50 AM,-0.04151,0.619296,504.48063,216,300,12:49:59 PM
02/13/20 03:55 AM,0.765101,1.012031,506.334484,216,300,12:55:01 PM
02/13/20 04:00 AM,2.078593,2.312779,505.705878,216,300,01:00:00 PM
02/13/20 04:05 AM,1.286317,2.05937,503.252924,198,300,01:05:00 PM
02/13/20 04:10 AM,1.973066,0.652998,503.042296,216,300,01:09:58 PM
02/13/20 04:15 AM,-0.041501,0,502.217814,216,300,01:14:58 PM
02/13/20 04:20 AM,-0.039317,0.057339,503.163591,216,300,01:19:55 PM
02/13/20 04:25 AM,-0.041478,0.010132,505.837009,198,300,01:24:56 PM
02/13/20 04:30 AM,-0.034718,1.417487,510.998622,216,300,01:29:58 PM
02/13/20 04:35 AM,-0.039019,0.666439,507.846579,216,300,01:34:58 PM
02/13/20 04:40 AM,-0.037898,0,500.3279,216,300,01:40:01 PM
02/13/20 04:45 AM,-0.041202,0,501.349077,216,300,01:44:57 PM
02/13/20 04:50 AM,1.665976,0.353366,501.975224,216,300,01:49:58 PM
02/13/20 04:55 AM,-0.033512,0.593662,495.558038,216,300,01:54:54 PM
02/13/20 05:00 AM,-0.004607,1.594645,505.932898,216,300,01:59:57 PM
02/13/20 05:05 AM,1.691448,1.882148,499.025613,198,300,02:04:59 PM
02/13/20 05:10 AM,-0.036977,0.620675,507.058159,216,300,02:09:56 PM
02/13/20 05:15 AM,-0.041451,0,501.285151,216,300,02:14:58 PM
02/13/20 05:20 AM,1.318444,0.295472,500.521317,198,300,02:19:59 PM
02/13/20 05:25 AM,0.843451,0.264985,505.537048,198,300,02:24:57 PM
02/13/20 05:30 AM,-0.017353,0.979644,497.656941,216,300,02:29:58 PM
02/13/20 05:35 AM,-0.0368,0,504.003644,216,300,02:34:55 PM
02/13/20 05:40 AM,-0.041635,0.607235,503.756955,216,300,02:39:59 PM
02/13/20 05:45 AM,-0.041448,0,504.736334,198,300,02:44:56 PM
02/13/20 05:50 AM,-0.041376,0.076485,504.83878,216,300,02:49:59 PM
02/13/20 05:55 AM,0.662561,0.92457,500.207424,216,300,02:54:55 PM
02/13/20 06:00 AM,-0.025726,0.984628,488.847449,216,300,02:59:58 PM
02/13/20 06:05 AM,0.020688,1.125265,498.571575,216,300,03:04:55 PM
02/13/20 06:10 AM,-0.041124,1.088876,501.051575,216,300,03:10:00 PM
02/13/20 06:15 AM,-0.034423,0.804979,499.902546,216,300,03:14:54 PM
02/13/20 06:20 AM,0.908771,0.50633,502.035871,216,300,03:19:59 PM
02/13/20 06:25 AM,0.399648,1.14264,503.057048,216,300,03:24:59 PM
02/13/20 06:30 AM,-0.041245,0.456829,500.886843,216,300,03:29:56 PM
02/13/20 06:35 AM,-0.041212,0,502.740696,198,300,03:34:57 PM
02/13/20 06:40 AM,-0.041294,0.121135,501.713783,198,300,03:40:00 PM
02/13/20 06:45 AM,-0.041261,1.220662,503.680736,216,300,03:44:55 PM
02/13/20 06:50 AM,0.889747,0.826944,501.835078,198,300,03:49:56 PM
02/13/20 06:55 AM,-0.018753,0.186373,504.247055,216,300,03:54:58 PM
02/13/20 07:00 AM,-0.041563,0,499.761581,198,300,03:59:59 PM
02/13/20 07:05 AM,-0.041376,0,501.270399,216,300,04:04:57 PM
02/13/20 07:10 AM,-0.041163,0,504.007742,198,300,04:09:55 PM
02/13/20 07:15 AM,-0.041402,0,501.959652,216,300,04:14:55 PM
02/13/20 07:20 AM,-0.037878,0,497.99788,216,300,04:19:59 PM
02/13/20 07:25 AM,-0.04135,0,507.404015,198,300,04:25:00 PM
02/13/20 07:30 AM,-0.041399,0.859988,505.900935,198,300,04:29:57 PM
02/13/20 07:35 AM,-0.041251,0,501.635924,216,300,04:35:01 PM
02/13/20 07:40 AM,-0.041301,0,502.539903,198,300,04:39:55 PM
02/13/20 07:45 AM,0.641468,0.961942,508.666143,216,300,04:44:58 PM
02/13/20 07:50 AM,-0.041474,0.220728,502.102256,216,300,04:50:01 PM
02/13/20 07:55 AM,-0.04137,0,494.688481,198,300,04:54:58 PM
02/13/20 08:00 AM,-0.040665,0,507.590056,216,300,04:59:57 PM
02/13/20 08:05 AM,-0.04137,0,498.293742,216,300,05:04:58 PM
02/13/20 08:10 AM,-0.04137,0,505.368218,216,300,05:09:59 PM
02/13/20 08:15 AM,-0.041143,0,504.080683,216,300,05:14:55 PM
02/13/20 08:20 AM,-0.041547,0,504.23804,198,300,05:19:56 PM
02/13/20 08:25 AM,-0.041383,0,499.983683,198,300,05:24:59 PM
02/13/20 08:30 AM,-0.041429,0,501.236796,216,300,05:29:58 PM
02/13/20 08:35 AM,-0.041504,0,502.82675,216,300,05:34:59 PM
02/13/20 08:40 AM,-0.04156,0,502.173558,216,300,05:40:01 PM
02/13/20 08:45 AM,-0.036986,0,499.382943,198,300,05:44:57 PM
02/13/20 08:50 AM,-0.041209,0,500.005811,216,300,05:49:57 PM
02/13/20 08:55 AM,-0.041143,0,495.436743,198,300,05:54:59 PM
02/13/20 09:00 AM,-0.041524,0,500.931919,198,300,05:59:54 PM
02/13/20 09:05 AM,-0.041317,0,504.695356,216,300,06:04:59 PM
02/13/20 09:10 AM,-0.039619,0,494.499981,198,300,06:10:00 PM
02/13/20 09:15 AM,-0.041376,0,504.388839,198,300,06:14:55 PM
02/13/20 09:20 AM,-0.041245,0,501.726896,216,300,06:19:54 PM
02/13/20 09:25 AM,-0.041399,0,502.880842,198,300,06:24:59 PM
02/13/20 09:30 AM,-0.04152,0,506.215647,198,300,06:29:56 PM
02/13/20 09:35 AM,-0.041458,0,506.068945,198,300,06:35:00 PM
02/13/20 09:40 AM,-0.041324,0,502.468601,198,300,06:39:58 PM
02/13/20 09:45 AM,-0.041524,0,497.920021,216,300,06:44:58 PM
02/13/20 09:50 AM,-0.041517,0,500.401661,198,300,06:49:57 PM
02/13/20 09:55 AM,-0.041507,0,501.393333,198,300,06:54:58 PM
02/13/20 10:00 AM,-0.041674,0,505.596876,198,300,06:59:59 PM
02/13/20 10:05 AM,-0.041599,0,3971.349908,216,300,07:04:55 PM
02/13/20 10:10 AM,-0.04152,0,499.477193,216,300,07:09:56 PM
02/13/20 10:15 AM,-0.041478,0,501.893267,216,300,07:15:02 PM
02/13/20 10:20 AM,-0.041543,0,501.340062,180,300,07:20:00 PM
02/13/20 10:25 AM,-0.041556,0,504.449487,198,300,07:24:58 PM
