Time,Tank 1 ,Tank 2,Tank 3,Tank 4,Tank 5 ,Tank 6,Tank 7,Tank 8,Tank 9,Tank 10,Tank 11,Tank 12
08/15/2020 16:50:00,27.99722,27.99543,28.00428,28.00108,28.03478,28.02213,28.07637,27.98935,28.01708,27.99381,28.01848,28.00972
08/15/2020 16:55:00,28.0428,28.01908,28.01313,27.9984,28.03754,27.9963,28.07235,28.0644,28.00787,28.04816,28.03426,27.99405
08/15/2020 17:00:00,28.05604,28.0528,28.04073,28.06616,28.02956,28.00739,28.06678,28.0447,27.99992,28.06091,28.02649,28.04501
08/15/2020 17:05:00,28.0367,28.04019,28.04646,28.06789,28.01361,28.03546,28.06411,28.01685,28.02095,28.06152,28.01697,28.0515
08/15/2020 17:10:00,28.02136,28.03016,28.03867,28.06608,28.01121,28.03097,28.06203,27.99613,28.02236,28.03459,28.00054,28.04106
08/15/2020 17:15:00,28.00528,28.00518,28.02047,28.06652,28.00869,28.01434,28.06081,28.05573,28.00489,28.01748,28.00682,28.0202
08/15/2020 17:20:00,28.00928,27.99338,28.00594,28.04749,28.01554,27.993,28.05001,28.04352,28.00233,27.99151,28.04191,27.99318
08/15/2020 17:25:00,28.04837,28.02833,28.00207,28.032,28.01403,28.03044,28.05144,28.01493,28.01879,28.04359,28.03088,28.00392
08/15/2020 17:30:00,28.03516,28.04734,28.03088,28.01852,28.00131,28.03723,28.04714,27.99577,28.00646,28.05768,28.02372,28.05259
08/15/2020 17:35:00,28.02746,28.037,28.03833,28.01362,28.00815,28.02393,28.03816,28.05755,28.01228,28.04326,28.01062,28.03914
08/15/2020 17:40:00,28.00471,28.023,28.02538,27.99915,28.01956,28.00871,28.03978,28.03519,28.02564,28.02436,27.99158,28.02583
08/15/2020 17:45:00,27.99985,28.00251,28.01371,28.01372,28.02188,27.98699,28.03419,28.00036,28.02146,27.99589,28.02264,28.01697
08/15/2020 17:50:00,28.0337,28.01133,28.0001,28.04141,28.01497,28.03824,28.01943,28.0078,28.01171,28.00741,28.03129,27.98977
08/15/2020 17:55:00,28.0388,28.04942,28.00895,28.03836,28.00008,28.04685,28.02218,28.06621,28.00141,28.04767,28.02516,28.04432
08/15/2020 18:00:00,28.01857,28.03777,28.06399,28.02603,28.00443,28.03172,28.01459,28.03052,28.02147,28.0408,28.00831,28.06173
08/15/2020 18:05:00,28.00289,28.02575,28.05967,28.02344,28.05432,28.00859,28.01189,28.00512,28.01869,28.01543,28.00281,28.03964
08/15/2020 18:10:00,28.00267,28.00081,28.049,28.00813,28.06017,27.99505,28.00541,28.01623,28.01507,27.99982,28.05478,28.02229
08/15/2020 18:15:00,28.0426,28.0043,28.0356,27.99931,28.04926,28.04547,28.00715,28.05088,27.99979,28.02511,28.051,27.99923
08/15/2020 18:20:00,28.0466,28.05149,28.0262,28.0479,28.03814,28.05137,28.00412,28.01461,28.02813,28.05272,28.04409,28.01056
08/15/2020 18:25:00,28.0198,28.05068,27.99754,28.07196,28.0232,28.03,28.02229,27.99605,28.03405,28.03952,28.03326,28.05509
08/15/2020 18:30:00,28.00535,28.03398,28.00674,28.0649,28.01659,28.01194,28.02851,28.06324,28.03297,28.01866,28.00333,28.05796
08/15/2020 18:35:00,27.99871,28.01279,28.04711,28.04883,27.99531,27.99464,28.02118,28.03875,28.01377,27.99115,27.99033,28.03723
08/15/2020 18:40:00,28.05491,27.98897,28.04123,28.03831,28.02675,28.03167,28.01143,28.00687,28.00651,28.02946,28.04278,28.01485
08/15/2020 18:45:00,28.0549,28.04229,28.0219,28.02829,28.0505,28.05255,28.01707,27.994,28.02003,28.05216,28.06268,27.99118
08/15/2020 18:50:00,28.04921,28.07332,28.01271,28.0212,28.04541,28.03311,28.00767,28.06203,28.01441,28.04008,28.05462,28.02411
08/15/2020 18:55:00,28.02388,28.05614,27.99645,28.00751,28.03857,28.01116,27.99922,28.03072,28.00367,28.01813,28.03636,28.06531
08/15/2020 19:00:00,28.00633,28.03887,28.03111,28.00128,28.02951,27.99464,28.01995,28.00882,28.01218,27.99497,28.02695,28.05339
08/15/2020 19:05:00,27.99028,28.01897,28.06319,28.02572,28.01533,28.02572,28.02861,28.01267,28.02934,28.02718,28.00421,28.03085
08/15/2020 19:10:00,28.05806,27.99466,28.06085,28.05986,28.00777,28.02967,28.0282,28.0618,28.01471,28.05934,27.9902,28.00438
08/15/2020 19:15:00,28.07568,28.02361,28.03403,28.04906,27.99628,28.01018,28.02977,28.02249,28.00318,28.04591,28.04498,27.99412
08/15/2020 19:20:00,28.05385,28.05149,28.02813,28.03888,28.03693,27.98577,28.02352,28.00395,28.01133,28.01939,28.06054,28.04054
08/15/2020 19:25:00,28.03957,28.03885,28.01236,28.0282,28.0668,28.01559,28.01621,28.00143,28.01497,27.99092,28.04914,28.06527
08/15/2020 19:30:00,28.02306,28.02182,27.99427,28.01557,28.0629,28.03192,28.00692,28.08199,28.00669,28.02093,28.0298,28.04401
08/15/2020 19:35:00,28.00159,28.00584,28.02456,28.00344,28.06321,28.03185,28.00782,28.04613,28.00195,28.05772,28.02454,28.02754
08/15/2020 19:40:00,28.0053,27.99336,28.05026,27.99333,28.05137,28.00812,28.00348,28.02131,28.01552,28.04193,28.00471,28.00618
08/15/2020 19:45:00,28.0554,28.05632,28.03795,28.05075,28.03693,27.98228,27.99667,27.9953,28.02895,28.01082,27.99382,28.00058
08/15/2020 19:50:00,28.05277,28.06539,28.02816,28.07162,28.02803,28.03852,28.01911,28.06486,28.02095,27.99872,28.03805,28.04409
08/15/2020 19:55:00,28.03123,28.05231,28.01416,28.06126,28.01482,28.04455,28.02488,28.04641,28.00164,28.01538,28.05019,28.05506
08/15/2020 20:00:00,28.02177,28.02282,27.99571,28.05322,28.00179,28.03262,28.02687,28.01446,28.01682,28.05555,28.04665,28.04139
08/15/2020 20:05:00,28.00436,28.00456,28.01564,28.04568,28.01466,28.01213,28.01808,27.99761,28.02965,28.04537,28.02885,28.02359
08/15/2020 20:10:00,28.00148,28.00589,28.06655,28.02775,28.02538,27.99228,28.01421,28.06096,28.02233,28.02033,28.01611,27.99561
