Time,Untitled,Untitled 1,Untitled 2,Untitled 3,Salinity,Untitled 5,Untitled 6,Untitled 7,,
08/20/2020 03:20:00,2.569595,198.3799,153.2477,52.61324,31.922,29.87726,28.82868,-13.5698,,
08/20/2020 03:25:00,2.572546,198.1586,153.2966,52.14613,31.55001,29.80139,28.91071,-15.0048,,
08/20/2020 03:30:00,2.590741,200.1168,157.9804,53.654,32.39906,29.10009,29.17117,-12.6267,,
08/20/2020 03:35:00,2.600986,200.8665,153.6363,55.37495,33.17679,30.47193,29.7372,-12.9957,,
08/20/2020 03:40:00,2.581807,199.3753,151.6556,53.03119,32.01405,30.59906,29.11579,-12.7907,,
08/20/2020 03:45:00,2.558776,197.9948,151.1604,51.92896,30.65715,30.34479,30.06944,-13.6518,,
08/20/2020 03:50:00,2.610002,200.166,153.269,53.99,32.03486,30.37555,30.05508,-12.6062,,
08/20/2020 03:55:00,2.577709,198.5273,154.626,53.0148,31.77974,29.54507,29.45213,-11.6632,,
08/20/2020 04:00:00,2.621394,200.0431,155.5213,53.38767,31.67136,29.72962,29.99766,-12.7292,,
08/20/2020 04:05:00,2.62541,199.7194,151.6676,53.46142,31.64156,30.69339,30.11866,-11.4992,,
08/20/2020 04:10:00,2.578283,197.9374,153.2779,52.33461,31.23092,29.74397,29.59364,-11.0072,,
08/20/2020 04:15:00,2.575414,199.0271,151.8969,52.92055,31.48954,30.43296,29.79873,-12.3807,,
08/20/2020 04:20:00,2.594429,199.9488,154.7754,53.27703,31.74784,29.90392,29.76797,-13.8363,,
08/20/2020 04:25:00,2.58861,199.1828,155.8644,53.0107,32.20524,29.39743,28.81022,-10.9867,,
08/20/2020 04:30:00,2.634508,200.2561,152.0507,53.79332,31.475,30.7385,30.71546,-12.9547,,
08/20/2020 04:35:00,2.591315,198.4003,153.7581,51.42907,30.86004,29.74397,29.22654,-12.7702,,
08/20/2020 04:40:00,2.576234,197.622,154.5712,51.49463,31.34729,29.30515,28.54566,-12.0937,,
08/20/2020 04:45:00,2.606641,199.3221,150.3774,54.3055,31.86494,30.94356,30.63342,-13.5903,,
